Practice_Code,Practice_Name,LA_CODE,GOR10CD,Age_Band,PSEEN_TOTAL
V00003,MISS KM BOLES,E10000032,E12000008,ADULT_24_months,2623
V00003,MISS KM BOLES,E10000032,E12000008,CHILD_12_months,801
V00004,Woodcroft Dental Practice Ltd,E10000032,E12000008,ADULT_24_months,1960
V00004,Woodcroft Dental Practice Ltd,E10000032,E12000008,CHILD_12_months,604
V00005,Apex Dental Care Ltd,E10000032,E12000008,ADULT_24_months,8516
V00005,Apex Dental Care Ltd,E10000032,E12000008,CHILD_12_months,1909
V00006,MISS CA HALLWORTH,E10000032,E12000008,ADULT_24_months,2131
V00006,MISS CA HALLWORTH,E10000032,E12000008,CHILD_12_months,953
V00007,M W Botha Limited,E10000032,E12000008,ADULT_24_months,6697
V00007,M W Botha Limited,E10000032,E12000008,CHILD_12_months,1697
V00009,Little London Dental Care Limited,E10000032,E12000008,ADULT_24_months,6959
V00009,Little London Dental Care Limited,E10000032,E12000008,CHILD_12_months,1598
V00010,Whitecross Dental Care Limited,E10000008,E12000009,ADULT_24_months,7683
V00010,Whitecross Dental Care Limited,E10000008,E12000009,CHILD_12_months,1612
V00011,The Sea Road Dental Practice Partnership,E10000032,E12000008,ADULT_24_months,2271
V00011,The Sea Road Dental Practice Partnership,E10000032,E12000008,CHILD_12_months,614
V00013,Sarah Almashat,E10000032,E12000008,ADULT_24_months,1439
V00013,Sarah Almashat,E10000032,E12000008,CHILD_12_months,365
V00014,MR RW GORROD,E10000032,E12000008,ADULT_24_months,6871
V00014,MR RW GORROD,E10000032,E12000008,CHILD_12_months,1823
V00015,OASIS DENTAL CARE LTD,E10000032,E12000008,ADULT_24_months,5316
V00015,OASIS DENTAL CARE LTD,E10000032,E12000008,CHILD_12_months,1288
V00016,OASIS DENTAL CARE LTD,E10000032,E12000008,ADULT_24_months,7117
V00016,OASIS DENTAL CARE LTD,E10000032,E12000008,CHILD_12_months,1400
V00018,MRS NE VADASZ,E10000032,E12000008,ADULT_24_months,2109
V00018,MRS NE VADASZ,E10000032,E12000008,CHILD_12_months,1082
V00019,Elizabeth Horn,E10000032,E12000008,ADULT_24_months,4631
V00019,Elizabeth Horn,E10000032,E12000008,CHILD_12_months,699
V00021,Steyndent Ltd,E10000032,E12000008,ADULT_24_months,2647
V00021,Steyndent Ltd,E10000032,E12000008,CHILD_12_months,542
V00023,MR SN PATEL,E06000042,E12000008,ADULT_24_months,3233
V00023,MR SN PATEL,E06000042,E12000008,CHILD_12_months,1296
V00024,MR BM SILVA,E10000032,E12000008,ADULT_24_months,6781
V00024,MR BM SILVA,E10000032,E12000008,CHILD_12_months,2108
V00025,The Clinic Dental Facial Ltd,E10000032,E12000008,ADULT_24_months,46
V00025,The Clinic Dental Facial Ltd,E10000032,E12000008,CHILD_12_months,391
V00026,E Lazanakis Limited,E10000032,E12000008,ADULT_24_months,7037
V00026,E Lazanakis Limited,E10000032,E12000008,CHILD_12_months,2655
V00028,Rodericks Dental Limited,E10000027,E12000009,ADULT_24_months,9168
V00028,Rodericks Dental Limited,E10000027,E12000009,CHILD_12_months,2496
V00029,IDH Limited,E10000014,E12000008,ADULT_24_months,6274
V00029,IDH Limited,E10000014,E12000008,CHILD_12_months,1523
V00030,The City Way Practice,E06000035,E12000008,ADULT_24_months,6635
V00030,The City Way Practice,E06000035,E12000008,CHILD_12_months,2332
V00034,SCA Healthcare,E10000014,E12000008,ADULT_24_months,7536
V00034,SCA Healthcare,E10000014,E12000008,CHILD_12_months,2248
V00035,SCA Healthcare,E10000014,E12000008,ADULT_24_months,8019
V00035,SCA Healthcare,E10000014,E12000008,CHILD_12_months,1959
V00037,Mr Bilal Sheikh,E08000007,E12000002,ADULT_24_months,546
V00037,Mr Bilal Sheikh,E08000007,E12000002,CHILD_12_months,253
V00040,MISS RJ SANGHVI,E09000010,E12000007,ADULT_24_months,2567
V00040,MISS RJ SANGHVI,E09000010,E12000007,CHILD_12_months,617
V00041,"Mr C Lucas,Mr M Hamburger, R Ingledew",E06000016,E12000004,ADULT_24_months,1073
V00041,"Mr C Lucas,Mr M Hamburger, R Ingledew",E06000016,E12000004,CHILD_12_months,423
V00043,BERKSHIRE COMMUNITY DENTAL SERVICE,E06000039,E12000008,ADULT_24_months,978
